id	filename	md5	size	state
57f7d3b6-3022-4c1b-ac2c-5ce5b265aa43	TCGA-WE-A8ZY-06Z-00-DX1.A17BD770-E488-4B3C-9FBA-0CDE316BC3EC.svs		521003119	
3cdabb85-888e-4392-9fbe-bbf896579a8d	TCGA-D3-A51H-06Z-00-DX1.33682556-776F-42B4-BA36-05E973FF276E.svs		545603836	
7fc7ee68-a205-45fa-a41a-12fd667f02bc	TCGA-D3-A1Q5-06Z-00-DX1.A94CEB2F-27BA-4D90-B52F-3C8F86BD6F14.svs		630596908	
0e24042d-2f15-4635-a7bf-8f138055ab3d	TCGA-D3-A5GO-06Z-00-DX1.DF1F3837-B866-40F4-B2E7-244F94DD0065.svs		568838892	
f3a53d50-c9aa-47cc-8cc8-0f933f7eb105	TCGA-EB-A44O-01Z-00-DX1.A07646AF-D30D-4C44-B8F6-B81D3F2A4F5D.svs		646804995	
7927aef9-b8d4-4231-90fa-59e3f25970e1	TCGA-FW-A3TU-01Z-00-DX1.ACF63772-CD4E-4863-8B06-869E288A70F1.svs		571646036	
7a957c2f-a2a6-4f7b-ab65-4b5c9229f4c5	TCGA-D3-A5GU-06Z-00-DX1.17B59BCE-262E-4575-ABDE-7F01BDAEAF1E.svs		662689906	
4465db67-b865-48c9-af75-846170f8bb92	TCGA-D3-A8GK-06Z-00-DX1.EB94CDEC-CA59-4901-B979-0B22132BCA0E.svs		592569316	
39599fc3-60c6-4fb6-958d-33d439b72ff2	TCGA-EB-A3XE-01Z-00-DX1.DC27C8AE-FA5B-438A-8C90-B5E66E9F489C.svs		669171599	
5d640ad6-11d2-4256-848c-042f90c51b2c	TCGA-HR-A2OG-01Z-00-DX1.EB2F7E73-16CF-4E26-B3E0-87045C07FE66.svs		612456294	
e4def988-80f3-476f-81e7-cb8b158dcdad	TCGA-FR-A726-01Z-00-DX1.E547BCFB-C27E-4115-9C11-C192587FB32C.svs		689426960	
8db466fa-e1ef-4691-b707-1170d7841ac3	TCGA-EB-A3HV-01Z-00-DX1.5DBE221C-26F1-4570-90CB-74F06CF96567.svs		619683945	
3650d006-3b5d-40cd-9cad-fb98937f3737	TCGA-EB-A4P0-01Z-00-DX1.9B525DEA-619A-43B6-B9C4-BB98511DEE56.svs		698567991	
d4518876-72b7-4086-90fb-9402d004e477	TCGA-GF-A6C9-06Z-00-DX1.87770B34-BB1A-4719-939F-68AE6BF567F9.svs		624645299	
ff66a6ff-08a5-478a-a289-b340e6abc80e	TCGA-D3-A51R-06Z-00-DX1.F4B5C1BD-2982-4041-A8F8-3F1E7EB7FFEE.svs		699075382	
3c1b2053-18b7-4822-b27a-2ef4796260fb	TCGA-D3-A51T-06Z-00-DX1.90803497-46D5-4967-91D3-CB294605772E.svs		631079086	
7f341f37-80cc-48a1-a978-70e279e4f853	TCGA-FS-A1ZN-01Z-00-DX9.70815334-6AEE-45EC-A76F-132BD19F4B33.svs		717688019	
4e5babeb-f34e-44d5-8754-868a74dd2181	TCGA-D3-A2JB-06Z-00-DX1.BA8C1987-4474-47FE-8FDC-D15C2A41AC90.svs		638348328	
75bec87f-e3d3-4b0c-b6b6-79740eb8b708	TCGA-D3-A3C6-06Z-00-DX1.AEAFE336-C5BC-4EC0-A869-14DCB44700CD.svs		739369084	
1d6c6bef-067b-4730-8475-9e6beeed00bb	TCGA-GF-A4EO-01Z-00-DX1.A895033F-BC64-4871-8292-BCEB4FF5B9DE.svs		647809777	
beacd435-038c-4131-b2df-f0aedd45c14c	TCGA-D3-A2J6-06Z-00-DX1.1E4860D2-EC44-47BA-88AD-CE524E3CC2B7.svs		748930476	
71541951-1f52-4323-a9a7-ca2ff6d52560	TCGA-D9-A6EA-01Z-00-DX1.4EC8653B-A344-4F8F-9B5D-17B9FF444DC0.svs		668302853	
995cdac2-2bb9-42d7-86c0-06e5b0184d55	TCGA-BF-AAP1-01Z-00-DX1.65888232-80E7-46F0-93D9-CFC6AE1D117E.svs		758773137	
f8b6ecc6-6485-4f34-95a1-0ba5d7edad99	TCGA-D3-A1Q8-06Z-00-DX1.1E0D455B-62EB-445F-9758-F2E4E304AA82.svs		672276626	
c9bb3620-36af-4ef7-9042-fa24f81339a2	TCGA-D3-A3MV-06Z-00-DX1.C06EECC4-8DA7-4432-8FEC-7A5ED82E21CB.svs		762324218	
6a5b4836-fff0-4994-8caa-bd198f9ffa4f	TCGA-BF-A3DL-01Z-00-DX1.19B241AC-405E-4C47-8582-7B8B6C6D58CE.svs		683141709	
31488f1c-5b07-464e-b04a-5f34226291eb	TCGA-D3-A3MO-06Z-00-DX1.F375C5A1-723B-4F61-B1AB-6AF1B944A327.svs		764258986	
0fe01971-7fe1-4b48-94e8-22e8fc91beee	TCGA-EB-A5SF-01Z-00-DX1.8083AB94-89EF-4741-8EE7-86EAC50B86B1.svs		695489261	
48ba118f-a1db-47a8-88e0-598d78d373c3	TCGA-EE-A2GB-01Z-00-DX1.77982EF7-6A82-43BD-9D6C-AD19B5D671EC.svs		776916455	
daf6fc41-e620-4ab8-82c5-16f26802fc03	TCGA-D3-A2J9-06Z-00-DX1.5526CFD6-96AB-49F8-B88C-DC9DC5E349F0.svs		718357068	
8074e1ce-6e9a-46cc-8917-a12fbb73a8b0	TCGA-EB-A3Y6-01Z-00-DX1.95CD1743-DDC4-4ABF-8C48-1C93FEA54D13.svs		785147981	
b4e975a2-aef6-4922-975e-5c71a7a35666	TCGA-D3-A3C1-06Z-00-DX1.F6C5DABC-9FEB-4A55-A764-6958046CFE39.svs		783197226	
db9053d0-aca7-4de3-94cd-6343926ac292	TCGA-EB-A44P-01Z-00-DX1.717C3DBF-9CC2-425F-8CEA-15CD5BF28225.svs		790425219	
82afde87-ee4c-41e1-88fc-b28b015fcc80	TCGA-D3-A2JF-06Z-00-DX1.1AD134CC-6844-45CC-BEC2-46F487356703.svs		785997342	
a45c28ec-e3a4-48d1-9f3a-782fddb46300	TCGA-FR-A2OS-01Z-00-DX1.9F35411B-FFCE-4BD7-8161-68DE08C67AB8.svs		817794855	
73eb430f-e64a-465d-9a65-422a631734f3	TCGA-EB-A5UM-01Z-00-DX1.6F0E5CD6-FE4C-46F9-A095-59CF750A053A.svs		804010966	
525bb053-2ca4-46ae-b294-3fb6aad4304a	TCGA-EB-A5SH-06Z-00-DX1.2C9CB59B-C09A-487F-BAB7-E71F84DDB985.svs		821161152	
324eadf0-060c-462f-92bb-ea996818e343	TCGA-XV-AAZY-01Z-00-DX1.77D5F2CA-1A90-4F8B-86A2-29A9597B7373.svs		814338597	
97d24bf8-bdf4-48c9-becc-62e095b42a2e	TCGA-DA-A3F3-01Z-00-DX1.8F546F95-2071-41E5-A0D4-66AB7B46DCFD.svs		840918131	
002eb922-8889-4315-9850-2837cad9f342	TCGA-3N-A9WD-01Z-00-DX1.3B836595-3D67-4985-9D3B-39A7AE38B550.svs		819329213	
8c5b7b1e-9da7-4686-a3ac-635575aa5c56	TCGA-D9-A3Z4-01Z-00-DX1.5807DC41-0370-4F3C-8ECB-4A12B81C8FC7.svs		845539621	
c4f1a7a8-f685-420b-99eb-8f8e3f6bdd80	TCGA-EB-A85I-01Z-00-DX1.8049AEB4-083E-4907-BCD9-23A7B83B54A7.svs		830827379	
40fae70d-723f-40bb-9aab-cb8452a57c9b	TCGA-EB-A5UL-06Z-00-DX1.1E65A435-D10E-416E-A23B-6C31BAA9A975.svs		876379739	
7f541cbe-f321-4405-9cdb-65fff674235d	TCGA-D3-A8GE-06Z-00-DX1.757AE9F7-823E-4167-B12C-F6DA031B21D1.svs		842880308	
ef19a7e5-20f0-4ba6-8b66-7eff6f84b7bd	TCGA-D3-A2JE-06Z-00-DX1.71482107-04E7-4DB6-873A-F68DC4F8C0D1.svs		882777076	
c7ab214b-2d25-4481-8fee-555eb25b191e	TCGA-D3-A3MR-06Z-00-DX1.D05823A5-C823-471F-8992-72AFA58DB37A.svs		844846556	
303935db-39e7-4e9c-9166-4278e7d7ca06	TCGA-FR-A3YN-01Z-00-DX1.2E95B327-14BD-4B92-8E0D-512E3F38B513.svs		913714643	
09b5761f-5852-407b-98a5-58519f68018a	TCGA-D3-A51F-06Z-00-DX1.ACABF227-3D3C-4490-A075-7D711BB34675.svs		874246182	
b536d111-ca0c-4b6b-9ee4-e3dc039b695e	TCGA-FS-A1ZE-06Z-00-DX1.0628CA6E-328C-428F-A4D1-ECB565D8DB98.svs		916637581	
e512c8a7-bd08-48a1-b44b-62e5e240541d	TCGA-W3-AA1V-01Z-00-DX1.86F0DF30-1FB8-4316-8126-0C6CCF82A06E.svs		875586665	
db890771-4f1b-44dc-a77b-8fc35e255905	TCGA-EE-A2GR-01Z-00-DX1.A84F7FE6-EE4E-4DD2-A0DF-856923EFE661.svs		919413651	
6ff674c4-f7c1-423c-bde2-3bad1e24e843	TCGA-D3-A2JN-06Z-00-DX1.0AA7684E-2886-4A00-B808-39EA790B825A.svs		878751748	
71d6d917-57ed-4362-b81e-7e07d57758a3	TCGA-EE-A2A5-01Z-00-DX1.96AC91D6-1BED-4F64-BF07-A8EA5B6C92F9.svs		920895607	
206f2c6a-66d0-4ffe-8941-a6bb5b6c003c	TCGA-FR-A69P-06Z-00-DX1.D4CEAE91-6400-4FA0-A34D-5E56A8382CEA.svs		890694750	
e2a822ad-8402-4a94-bdee-046cbfcb3687	TCGA-YD-A89C-06Z-00-DX1.E1F14C6C-EA1D-4121-BB3F-A72AD8A0EB70.svs		958974315	
04e87401-0e7d-477a-95e7-955df2320617	TCGA-GF-A3OT-01Z-00-DX1.014B8884-EE9D-4F3A-81BB-9DCAC92CC2AE.svs		899969993	
a2d6a7d5-a07a-4da9-ae2d-9ceea6639b36	TCGA-FS-A1ZN-01Z-00-DX5.2BE51074-7E23-41C0-A3EA-1A84BF812048.svs		961253771	
77475054-663f-4d49-b7a0-2d8cdc5e11b4	TCGA-XV-AAZV-01Z-00-DX1.EBADFAC9-8696-4A32-A768-785D32D46CB5.svs		941513895	
892c3862-bbc3-41a3-84cb-616ca8e6861b	TCGA-FS-A1ZN-01Z-00-DX7.350F3A9C-29B0-42D6-808F-EC671D923B8D.svs		1031092503	
d4b5fb09-5c2d-47ee-bb04-798006cc729b	TCGA-FR-A8YD-06Z-00-DX1.AF90C1E6-94CB-48ED-BDED-F2AC6183153F.svs		960820818	
06957930-3e02-4c3c-ab80-2768bc393ed6	TCGA-EB-A24D-01Z-00-DX1.32127705-0E27-489D-8639-DD58EE59A61D.svs		1034813939	
99782351-0db4-49e8-b8b2-a6f781210a98	TCGA-D3-A3CB-06Z-00-DX1.9862D604-C9E7-44BE-99E2-AB9883B1873E.svs		976232800	
ec93ed67-1504-4789-9ffd-2dbd9f617e24	TCGA-BF-A5EQ-01Z-00-DX1.8B6B7B53-66A9-43B1-A223-21D7778F6EE7.svs		1043354819	
43aeb055-d4a9-42fc-9a97-3422c301a872	TCGA-D3-A2JA-06Z-00-DX1.B2D576DF-C876-4385-9F85-23ACBDF30AF7.svs		995429804	
dbc41286-8b62-4f1b-b993-4632f7f24601	TCGA-EB-A3XB-01Z-00-DX1.65EB6648-0EA6-4010-8B71-DE9FF803B1A7.svs		1058053651	
518209a5-8efd-4aea-84fd-abd68011e576	TCGA-EE-A2GO-01Z-00-DX1.2A8B9951-8526-426F-98FA-205DFC6980C3.svs		1001247427	
4c0f719a-0352-424e-8da8-13012832cc8a	TCGA-D3-A3CE-06Z-00-DX1.145E1202-3B59-40D8-A8B6-33B3A26E7282.svs		1064250756	
6d947f96-1b6c-43a8-8fda-a4659b0511ba	TCGA-D3-A3C8-06Z-00-DX1.FE6A00E4-C1B4-42D8-9B02-34AF74F61C94.svs		1008067790	
10038031-4300-4c86-b51d-fa227585680f	TCGA-ER-A3EV-01Z-00-DX1.295FE0BC-4BCC-4950-A671-01A49FE10185.svs		1078701213	
3c173a0e-4bfa-4d91-98a2-e9ae5b24faeb	TCGA-EB-A553-01Z-00-DX1.5DB62584-E538-4C83-8996-7F3AD478F4F1.svs		1009239727	
d12f519d-adb2-4e7b-9288-4cb05c3df8b4	TCGA-EE-A2GS-01Z-00-DX1.77D6F0AA-5D58-4863-BC0C-362B3063756D.svs		1099144771	
c43675d7-8cfc-4a75-9da0-96c58fe95c70	TCGA-EB-A41A-01Z-00-DX1.76C495EA-698C-465C-B2FA-5AF9269CED6C.svs		1010649523	
cb6bfb6b-089e-4c67-a6ca-cc638f06e603	TCGA-D3-A8GP-06Z-00-DX1.8A2ADCC2-6D4A-42D7-8E11-FEC7FADD0659.svs		1149402332	
37639dcb-c628-429c-944f-ad1d776aa006	TCGA-D3-A3C7-06Z-00-DX1.A58D75D7-369A-4CC0-B2AB-E781AA162915.svs		1027923298	
ef0e0aab-389f-47aa-a76a-dfbd9fe633e0	TCGA-D3-A2JG-06Z-00-DX1.996E2017-70CA-4B6A-AB85-A170911BF9F2.svs		1172586858	
ebea6244-8f14-4b47-9d48-45b9cbfcb0c9	TCGA-BF-AAOU-01Z-00-DX1.9DC6A879-0AF0-4301-A027-248ACDBB301D.svs		1031538807	
569977d6-ed6f-43a7-9799-6e6d18321f21	TCGA-EE-A2MD-01Z-00-DX1.D66993F0-687E-4A3F-B192-E41D0CF889E8.svs		1175439541	
838dbc77-3ca1-4e1a-9785-0c3f1f4985b8	TCGA-D3-A5GR-06Z-00-DX1.5621C88A-0C9E-47D9-8458-A473B7BD28B7.svs		1035502448	
e5810b1e-aec4-4f8a-9a8b-d1a447d18753	TCGA-GN-A264-01Z-00-DX1.2C02EEF5-92DF-4DAF-BDE8-82423B4D8957.svs		1228995385	
425fb898-c1ab-42d6-a64b-81157fea4f3f	TCGA-EE-A29A-01Z-00-DX1.75D346DD-8932-4248-B8BD-CA20CBBC352C.svs		1062653041	
7e940970-d906-4f3a-984f-ba2e141f39be	TCGA-EE-A180-01Z-00-DX1.70980EC1-353C-404C-AC07-40DCB47601D5.svs		1231990657	
c16df838-d1e4-40f7-8648-fd7dacc0f3d0	TCGA-EE-A29G-01Z-00-DX1.8123979A-EF7A-4EB7-A323-94B4F7E77547.svs		1089752435	
09d1bbf4-f52c-4804-ac22-a640dbfb3338	TCGA-GN-A8LN-01Z-00-DX1.68E5D36A-6C6D-4BCD-B005-25B978441EE6.svs		1244344587	
